Tube,TechnicalReplicate,TimeLapse,Fraction,PlateletCount,PlateletCountPrct,TubeType,Donor,BiologicalReplicate,GraphTube
ACD-A,TUBE1,T0,WB,128,1,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T0,WB,150,1,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T0,WB,121,1,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T0,PRP,37,0.2891,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T0,PRP,56,0.3733,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T0,PRP,110,0.9091,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T0,PPP,8,0.0625,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T0,PPP,14,0.0933,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T0,PPP,8,0.0661,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T0,PFP,0,0,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T0,PFP,1,0.0067,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T0,PFP,0,0,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T04,WB,87,1,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T04,WB,160,1,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T04,WB,129,1,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T04,PRP,15,0.1724,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T04,PRP,33,0.2063,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T04,PRP,56,0.4341,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T04,PPP,4,0.046,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T04,PPP,9,0.0563,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T04,PPP,8,0.062,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T04,PFP,1,0.0115,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T04,PFP,0,0,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T04,PFP,1,0.0078,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T16,WB,133,1,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T16,WB,158,1,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T16,WB,121,1,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T16,PRP,37,0.2782,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T16,PRP,84,0.5316,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T16,PRP,74,0.6116,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T16,PPP,7,0.0526,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T16,PPP,15,0.0949,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T16,PPP,9,0.0744,Non-preservation,EC0031,DONOR9,ACDA
ACD-A,TUBE1,T16,PFP,0,0,Non-preservation,EC0029,DONOR7,ACDA
ACD-A,TUBE2,T16,PFP,1,0.0063,Non-preservation,EC0030,DONOR8,ACDA
ACD-A,TUBE3,T16,PFP,2,0.0165,Non-preservation,EC0031,DONOR9,ACDA
Biomatrica,TUBE1,T0,WB,397,1,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T0,WB,170,1,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T0,WB,227,1,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T0,PRP,446,1.1234,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T0,PRP,245,1.4412,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T0,PRP,210,0.9251,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T0,PPP,123,0.3098,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T0,PPP,31,0.1824,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T0,PPP,41,0.1806,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T0,PFP,2,0.005,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T0,PFP,0,0,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T0,PFP,1,0.0044,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T24,WB,427,1,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T24,WB,177,1,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T24,WB,216,1,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T24,PRP,697,1.6323,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T24,PRP,251,1.4181,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T24,PRP,208,0.963,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T24,PPP,136,0.3185,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T24,PPP,33,0.1864,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T24,PPP,46,0.213,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T24,PFP,5,0.0117,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T24,PFP,1,0.0056,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T24,PFP,2,0.0093,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T72,WB,410,1,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T72,WB,181,1,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T72,WB,220,1,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T72,PRP,574,1.4,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T72,PRP,195,1.0773,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T72,PRP,283,1.2864,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T72,PPP,158,0.3854,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T72,PPP,38,0.2099,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T72,PPP,63,0.2864,Preservation,EC0027,DONOR5,LBGBT
Biomatrica,TUBE1,T72,PFP,5,0.0122,Preservation,EC0028,DONOR6,LBGBT
Biomatrica,TUBE2,T72,PFP,4,0.0221,Preservation,EC0026,DONOR4,LBGBT
Biomatrica,TUBE3,T72,PFP,2,0.0091,Preservation,EC0027,DONOR5,LBGBT
Citrate,TUBE1,T0,WB,120,1,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T0,WB,123,1,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T0,WB,137,1,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T0,PRP,99,0.825,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T0,PRP,140,1.1382,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T0,PRP,159,1.1606,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T0,PPP,19,0.1583,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T0,PPP,15,0.122,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T0,PPP,15,0.1095,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T0,PFP,1,0.0083,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T0,PFP,0,0,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T0,PFP,2,0.0146,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T04,WB,128,1,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T04,WB,172,1,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T04,WB,135,1,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T04,PRP,60,0.4688,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T04,PRP,91,0.5291,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T04,PRP,30,0.2222,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T04,PPP,11,0.0859,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T04,PPP,17,0.0988,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T04,PPP,8,0.0593,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T04,PFP,1,0.0078,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T04,PFP,0,0,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T04,PFP,NA,NA,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T16,WB,126,1,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T16,WB,151,1,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T16,WB,111,1,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T16,PRP,82,0.6508,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T16,PRP,154,1.0199,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T16,PRP,56,0.5045,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T16,PPP,11,0.0873,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T16,PPP,25,0.1656,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T16,PPP,10,0.0901,Non-preservation,EC0031,DONOR9,CIT
Citrate,TUBE1,T16,PFP,1,0.0079,Non-preservation,EC0029,DONOR7,CIT
Citrate,TUBE2,T16,PFP,2,0.0132,Non-preservation,EC0030,DONOR8,CIT
Citrate,TUBE3,T16,PFP,2,0.018,Non-preservation,EC0031,DONOR9,CIT
DNA Streck,TUBE1,T0,WB,414,1,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,WB,199,1,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,WB,230,1,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T0,PRP,590,1.4251,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,PRP,215,1.0804,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,PRP,353,1.5348,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T0,PPP,193,0.4662,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,PPP,39,0.196,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,PPP,90,0.3913,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T0,PFP,7,0.0169,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T0,PFP,3,0.0151,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T0,PFP,5,0.0217,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,WB,434,1,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,WB,198,1,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,WB,239,1,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,PRP,712,1.6406,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,PRP,252,1.2727,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,PRP,413,1.728,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,PPP,457,1.053,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,PPP,126,0.6364,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,PPP,219,0.9163,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T24,PFP,105,0.2419,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T24,PFP,23,0.1162,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T24,PFP,33,0.1381,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,WB,451,1,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,WB,197,1,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,WB,262,1,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,PRP,NA,NA,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,PRP,NA,NA,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,PRP,NA,NA,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,PPP,NA,NA,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,PPP,NA,NA,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,PPP,NA,NA,Preservation,EC0027,DONOR5,CFDBCT
DNA Streck,TUBE1,T72,PFP,0,0,Preservation,EC0028,DONOR6,CFDBCT
DNA Streck,TUBE2,T72,PFP,22,0.1117,Preservation,EC0026,DONOR4,CFDBCT
DNA Streck,TUBE3,T72,PFP,48,0.1832,Preservation,EC0027,DONOR5,CFDBCT
EDTA,TUBE1,T0,WB,185,1,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,WB,218,1,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,WB,175,1,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T0,PRP,89,0.4811,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,PRP,162,0.7431,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,PRP,159,0.9086,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T0,PPP,23,0.1243,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,PPP,44,0.2018,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,PPP,31,0.1771,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T0,PFP,1,0.0054,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T0,PFP,2,0.0092,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T0,PFP,1,0.0057,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T04,WB,178,1,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T04,WB,220,1,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T04,WB,172,1,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T04,PRP,75,0.4213,Non-preservation,EC0029,DONOR7,EDTA
EDTA,TUBE2,T04,PRP,180,0.8182,Non-preservation,EC0030,DONOR8,EDTA
EDTA,TUBE3,T04,PRP,NA,NA,Non-preservation,EC0031,DONOR9,EDTA
EDTA,TUBE1,T04,PPP,18,0.1011,Non-preservation,EC0029,DONOR7,EDTA
