"","RNAID","genes_above0","total_est_counts_above0","genes_aboveTh","total_est_counts_aboveTh","GraphTube","Tube","donorID","TimeLapse","RNAisolation","GraphKit","tube_kitID","tube_kit_timeID","EluateV"
"1","RNA014889",7490,266400.108685682,3158,256109.522388757,"SER","serum","D5","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
"2","RNA014890",7910,240063.38983161,3431,228676.272056027,"CIT","Citrate","D1","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"3","RNA014891",8115,234454.856235015,3438,222807.652552451,"SER","serum","D2","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"4","RNA014892",8191,227281.029935989,3476,214996.19292783,"EDTA","EDTA","D1","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"5","RNA014893",9513,299657.239776943,4541,286302.20924943,"CIT","Citrate","D3","T16","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T16",14
"6","RNA014894",8558,261910.449725481,3723,249599.33124174,"SER","serum","D1","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"7","RNA014895",8788,318806.764955454,3766,305821.459798299,"SER","serum","D5","T04","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T04",14
"8","RNA014896",10104,378860.00357645,5185,365513.453203894,"EDTA","EDTA","D3","T16","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T16",14
"9","RNA014897",10328,411661.591186499,5679,398564.611436742,"CIT","Citrate","D3","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"10","RNA014898",10418,345249.571850057,5608,331805.740783435,"CIT","Citrate","D2","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"11","RNA014899",8507,258028.967748764,3707,245404.357369319,"CIT","Citrate","D1","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"12","RNA014900",9343,281422.895625348,4651,268596.886839072,"EDTA","EDTA","D5","T0","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T0",14
"13","RNA014901",9238,287161.85949861,4472,274132.967680925,"EDTA","EDTA","D3","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"14","RNA014902",7852,189482.622299253,3767,179030.028890738,"CIT","Citrate","D2","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"15","RNA014903",8404,248258.896830419,3688,236264.767013848,"CIT","Citrate","D5","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"16","RNA014904",8862,333800.612410851,4170,321550.953837475,"EDTA","EDTA","D5","T16","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T16",14
"17","RNA014905",7816,218408.049442839,3426,207494.253392842,"EDTA","EDTA","D5","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"18","RNA014906",10014,312795.152809042,5242,299713.946860805,"EDTA","EDTA","D2","T0","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T0",14
"19","RNA014907",8345,272248.75299211,3538,260087.30517229,"SER","serum","D5","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"20","RNA014908",9259,297557.033182069,4362,284622.619240575,"SER","serum","D1","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
"21","RNA014909",10060,360384.509585841,5225,347219.276433378,"SER","serum","D4","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"22","RNA014910",9831,370803.744830698,4797,357232.922070943,"SER","serum","D3","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
"23","RNA014911",8434,265583.396478447,3509,253285.988823804,"SER","serum","D3","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"24","RNA014912",9767,305671.946670956,4762,292269.300180291,"EDTA","EDTA","D1","T0","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T0",14
"25","RNA014913",10553,353413.73421161,5824,340246.592173197,"CIT","Citrate","D4","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"26","RNA014914",10620,392318.634561687,5844,378828.95694055,"EDTA","EDTA","D3","T0","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T0",14
"27","RNA014915",9170,294858.797075167,4136,281606.793669119,"SER","serum","D3","T04","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T04",14
"28","RNA014916",10153,377664.539586407,5088,363638.754968552,"CIT","Citrate","D5","T16","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T16",14
"29","RNA014917",10915,432234.672932418,6078,418942.598598705,"SER","serum","D4","T04","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T04",14
"30","RNA014918",10228,304450.261726345,5371,291021.884726881,"CIT","Citrate","D4","T16","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T16",14
"31","RNA014919",10821,385342.191398379,6097,372230.665871238,"CIT","Citrate","D4","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"32","RNA014920",9613,273649.693572353,4859,261362.41903939,"SER","serum","D4","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
"33","RNA014921",10305,358592.565334592,5502,345500.959227484,"SER","serum","D2","T04","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T04",14
"34","RNA014922",8259,259761.740575447,3743,248424.346127393,"SER","serum","D1","T04","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T04",14
"35","RNA014923",10489,417226.544156372,5666,403933.820766609,"CIT","Citrate","D3","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"36","RNA014924",11400,497301.49279101,6908,484827.644364877,"EDTA","EDTA","D4","T16","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T16",14
"37","RNA014925",11304,458413.739118353,6817,445773.78659847,"EDTA","EDTA","D4","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"38","RNA014926",11265,439272.602550966,6615,426219.170791193,"CIT","Citrate","D2","T16","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T16",14
"39","RNA014927",10095,337368.403423929,5222,324040.669629036,"EDTA","EDTA","D2","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"40","RNA014928",9847,346635.562596268,4890,333331.326076176,"SER","serum","D2","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
"41","RNA014929",9119,291153.565817097,4535,278600.509285273,"EDTA","EDTA","D1","T16","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T16",14
"42","RNA014930",8400,244977.534413357,3809,232951.32710905,"EDTA","EDTA","D2","T16","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T16",14
"43","RNA014931",8176,219906.2823319,3631,208593.973260596,"CIT","Citrate","D1","T16","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T16",14
"44","RNA014932",8613,221913.151221779,4163,210427.089845001,"EDTA","EDTA","D4","T0","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T0",14
"45","RNA014933",9731,338342.317611672,4629,324437.851111615,"CIT","Citrate","D5","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"46","RNA014979",12244,956113.33616826,8127,944731.846697578,"SER","serum","D3","T0","QIAamp","CCF2","SER_CCF2","SER_CCF2_T0",14
"47","RNA014980",12191,964736.705629504,8117,953366.523796056,"SER","serum","D3","T16","QIAamp","CCF2","SER_CCF2","SER_CCF2_T16",14
"48","RNA014981",12236,960981.974663258,7968,948914.911011876,"EDTA","EDTA","D5","T04","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T04",14
"49","RNA014982",12824,1260942.2673319,9054,1250457.55332416,"CIT","Citrate","D1","T16","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T16",14
"50","RNA014983",12213,835983.819027267,8264,824846.701050668,"EDTA","EDTA","D4","T16","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T16",14
"51","RNA014984",10703,499882.698570768,5942,486940.986815785,"SER","serum","D2","T16","QIAamp","CCF2","SER_CCF2","SER_CCF2_T16",14
"52","RNA014985",11432,696502.759355182,6924,684033.107662261,"SER","serum","D3","T04","QIAamp","CCF2","SER_CCF2","SER_CCF2_T04",14
"53","RNA014986",11872,735295.7491429,7486,723009.988864601,"CIT","Citrate","D5","T04","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T04",14
"54","RNA014987",11983,888578.217669418,7519,876273.358117357,"EDTA","EDTA","D1","T04","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T04",14
"55","RNA014988",11900,724434.036142689,7490,712123.99924491,"SER","serum","D2","T04","QIAamp","CCF2","SER_CCF2","SER_CCF2_T04",14
"56","RNA014989",10282,503001.005311991,5453,489897.960159085,"SER","serum","D5","T16","QIAamp","CCF2","SER_CCF2","SER_CCF2_T16",14
"57","RNA014990",12011,838143.878866866,7800,826281.866792562,"EDTA","EDTA","D2","T16","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T16",14
"58","RNA014991",8733,298362.841998545,3941,286301.571288978,"SER","serum","D1","T04","QIAamp","CCF2","SER_CCF2","SER_CCF2_T04",14
"59","RNA014992",11721,615291.471354738,7130,602273.145527073,"EDTA","EDTA","D2","T0","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T0",14
"60","RNA014993",12458,932473.203541903,8594,921510.067708116,"CIT","Citrate","D3","T0","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T0",14
"61","RNA014994",12101,625358.229257144,7800,613176.296703615,"CIT","Citrate","D2","T04","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T04",14
"62","RNA014995",12150,699866.233309666,8094,688394.919821346,"SER","serum","D4","T0","QIAamp","CCF2","SER_CCF2","SER_CCF2_T0",14
"63","RNA014996",11761,780663.724460471,7222,767820.5692115,"CIT","Citrate","D5","T16","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T16",14
"64","RNA014997",10087,446614.317871488,5193,433627.250172676,"SER","serum","D1","T16","QIAamp","CCF2","SER_CCF2","SER_CCF2_T16",14
"65","RNA014998",11937,739571.717830602,7582,727170.933363366,"EDTA","EDTA","D2","T04","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T04",14
"66","RNA014999",11482,614768.792253022,6572,601141.439518977,"EDTA","EDTA","D1","T0","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T0",14
"67","RNA015000",11998,982922.044504099,7708,970975.565947426,"EDTA","EDTA","D5","T16","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T16",14
"68","RNA015001",10633,586020.984715453,5691,572659.718618427,"SER","serum","D5","T04","QIAamp","CCF2","SER_CCF2","SER_CCF2_T04",14
"69","RNA015002",11625,683123.753402042,6781,669598.28652317,"CIT","Citrate","D1","T04","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T04",14
"70","RNA015003",13249,1408966.36890669,9866,1399595.65660228,"CIT","Citrate","D2","T16","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T16",14
"71","RNA015004",11407,560382.860350109,6807,547534.532514573,"SER","serum","D4","T04","QIAamp","CCF2","SER_CCF2","SER_CCF2_T04",14
"72","RNA015005",12504,1104657.74456548,8719,1093984.80366052,"CIT","Citrate","D3","T16","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T16",14
"73","RNA015006",12003,668177.350627647,7713,656256.670775836,"EDTA","EDTA","D4","T0","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T0",14
"74","RNA015007",11451,657286.193424268,6666,644143.290877952,"CIT","Citrate","D1","T0","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T0",14
"75","RNA015008",9938,401064.556577269,5201,388291.045770542,"SER","serum","D1","T0","QIAamp","CCF2","SER_CCF2","SER_CCF2_T0",14
"76","RNA015009",13023,1130562.78398408,9421,1120514.16185015,"CIT","Citrate","D4","T04","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T04",14
"77","RNA015010",12145,936150.782985583,7985,924412.954590752,"EDTA","EDTA","D3","T0","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T0",14
"78","RNA015011",12376,1210010.91702398,8529,1199401.56660911,"EDTA","EDTA","D3","T16","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T16",14
"79","RNA015012",11471,584284.998389475,6765,571299.09560787,"SER","serum","D4","T16","QIAamp","CCF2","SER_CCF2","SER_CCF2_T16",14
"80","RNA015013",11980,878179.437383098,7702,866393.330625019,"EDTA","EDTA","D3","T04","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T04",14
"81","RNA015014",11891,799786.420206529,7453,787480.017755669,"CIT","Citrate","D5","T0","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T0",14
"82","RNA015015",10651,556431.322169724,5697,543170.699804312,"SER","serum","D5","T0","QIAamp","CCF2","SER_CCF2","SER_CCF2_T0",14
"83","RNA015016",13160,1263828.68750106,9616,1253939.29375487,"EDTA","EDTA","D4","T04","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T04",14
"84","RNA015017",13517,1606805.55121173,10311,1597972.67174897,"CIT","Citrate","D2","T0","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T0",14
"85","RNA015018",10455,414904.700833246,5236,400885.001923982,"EDTA","EDTA","D5","T0","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T0",14
"86","RNA015019",12998,1601227.86335584,9460,1591630.8443536,"EDTA","EDTA","D1","T16","QIAamp","CCF2","EDTA_CCF2","EDTA_CCF2_T16",14
"87","RNA015020",11788,705122.05228134,7289,692682.464566998,"SER","serum","D2","T0","QIAamp","CCF2","SER_CCF2","SER_CCF2_T0",14
"88","RNA015021",12945,1001481.21108031,9267,991228.433691833,"CIT","Citrate","D4","T0","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T0",14
"89","RNA015022",12695,1241186.32669668,9100,1231232.60949712,"CIT","Citrate","D3","T04","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T04",14
"90","RNA015023",12739,787529.589047132,8786,776386.784559514,"CIT","Citrate","D4","T16","QIAamp","CCF2","CIT_CCF2","CIT_CCF2_T16",14
